			人口	人口	人口	人口	人口	人口	人口	人口	人口	人口
53	北海道	1977	4,140,000	1,302,000	406,000		5,468,646	5,443,000			50.9	49.1
54	北海道	1978	4,194,000	1,293,000	425,000		5,517,325	5,490,000			50.9	49.1
55	北海道	1979	4,249,000	1,283,000	446,000		5,556,960	5,535,000			50.9	49.1
56	北海道	1980	4,275,535	1,298,324	451,727	146,676	5,589,342	5,575,989		2,668,789	50.9	49.1
57	北海道	1981	4,307,000	1,300,000	471,000		5,609,996	5,605,000			51.0	49.0
58	北海道	1982	4,352,000	1,281,000	488,000		5,639,973	5,630,000			51.0	49.0
59	北海道	1983	4,393,000	1,266,000	506,000		5,654,060	5,656,000			51.1	48.9
60	北海道	1984	4,430,000	1,247,000	523,000		5,663,213	5,672,000			51.2	48.8
61	北海道	1985	4,460,216	1,217,959	549,487	194,518	5,668,059	5,679,439		2,744,844	51.3	48.7
62	北海道	1986	4,491,000	1,187,000	570,000		5,662,345	5,673,000			51.4	48.6
63	北海道	1987	4,520,000	1,150,000	594,000		5,653,776	5,660,000			51.5	48.5
64	北海道	1988	4,558,000	1,112,000	617,000		5,646,376	5,656,000			51.6	48.4
65	北海道	1989	4,597,000	1,074,000	643,000		5,642,571	5,649,000			51.7	48.3
66	北海道	1990	4,599,598	1,034,251	674,881	252,547	5,643,699	5,643,647		2,796,200	51.8	48.2
67	北海道	1991	4,648,000	1,000,000	707,000		5,649,829	5,650,000			51.8	48.2
68	北海道	1992	4,688,000	971,000	740,000		5,656,230	5,661,000			51.8	48.2
69	北海道	1993	4,726,000	940,000	774,000		5,665,699	5,669,000			51.9	48.1
70	北海道	1994	4,761,000	915,000	809,000		5,675,063	5,681,000			51.9	48.1
71	北海道	1995	4,787,795	898,673	844,927	318,985	5,684,842	5,692,321		2,935,207	51.9	48.1
72	北海道	1996	4,823,000	876,000	884,000		5,692,055	5,697,000			52.0	48.1
73	北海道	1997	4,848,000	854,000	920,000		5,693,495	5,699,000			52.0	48.0
74	北海道	1998	4,869,000	831,000	958,000		5,691,737	5,695,000			52.0	48.0
75	北海道	1999	4,887,000	808,000	994,000		5,682,827	5,689,000			52.1	47.9
76	北海道	2000	4,864,454	792,352	1,031,552	413,430	5,675,309	5,683,062		2,867,676	52.1	47.9
77	北海道	2001	4,902,000	777,000	1,074,000		5,667,024	5,680,000			52.2	47.8
78	北海道	2002	4,908,000	761,000	1,110,000		5,662,856	5,672,000			52.3	47.7
79	北海道	2003	4,913,000	745,000	1,147,000		5,650,573	5,663,000			52.3	47.7
80	北海道	2004	4,912,000	732,000	1,175,000		5,632,133	5,650,000			52.4	47.6
81	北海道	2005	4,901,756	719,057	1,205,692	543,243	5,629,970	5,627,737		2,785,794	52.5	47.5
82	北海道	2006	4,897,000	704,000	1,241,000		5,600,705	5,605,000			52.5	47.5
83	北海道	2007	4,882,000	689,000	1,274,000		5,571,770	5,579,000			52.6	47.4
84	北海道	2008	4,860,000	675,000	1,305,000		5,543,556	5,548,000			52.7	47.3
85	北海道	2009	4,844,000	663,000	1,334,000		5,520,894	5,524,000			52.7	47.3
86	北海道	2010	4,840,237	657,312	1,358,068	670,118	5,498,916	5,506,419		2,701,824	52.7	47.3
87	北海道	2011	4,837,000	650,000	1,382,000		5,474,216	5,486,000			52.8	47.3
88	北海道	2012	4,820,000	640,000	1,422,000		5,444,307	5,460,000	5,465,451		52.9	47.3
89	北海道	2013	4,801,000	630,000	1,469,000		5,441,079	5,431,000	5,463,045		52.9	47.2
90	北海道	2014	4,780,000	621,000	1,519,000		5,408,756	5,400,000	5,431,658		52.9	47.2
91	北海道	2015	4,749,191	608,296	1,558,387	767,891	5,376,211	5,381,733	5,401,210	2,553,043	52.9	47.1
92	北海道	2016	4,752,000	600,000	1,602,000		5,342,618	5,352,000	5,370,807		52.9	47.1
93	北海道	2017	4,731,000	588,000	1,632,000		5,307,813	5,320,000	5,339,539		52.9	47.2
94	北海道	2018	4,708,000	577,000	1,656,000		5,268,352	5,286,000	5,304,413		52.9	47.2
95	北海道	2019	4,685,000	565,000	1,673,000		5,226,066	5,250,000	5,267,762		53.0	47.2
96	北海道	2020	4,609,750	555,804	1,664,023	848,273	5,190,638	5,224,614	5,228,732	2,449,395	52.8	47.2
97	北海道	2021	4,639,000	544,000	1,686,000		5,148,060	5,183,000	5,183,687		52.8	47.2
98	北海道	2022	4,610,000	530,000	1,686,000		5,095,703	5,140,000	5,139,913		52.8	47.2
99	北海道	2023	4,578,000	514,000	1,681,000		5,039,100	5,092,000	5,093,983		52.8	47.2
100	北海道	2024	4,545,000	497,000	1,677,000			5,043,000				
101	青森県	1975	1,088,293	380,218	110,752	33,535	1,509,905	1,468,646		708,001	51.8	48.2
102	青森県	1976	1,108,000	374,000	116,000		1,523,488	1,484,000			51.8	48.2
103	青森県	1977	1,125,000	369,000	121,000		1,532,915	1,496,000			51.7	48.3
104	青森県	1978	1,141,000	364,000	127,000		1,542,141	1,507,000			51.7	48.3
105	青森県	1979	1,156,000	358,000	132,000		1,548,050	1,516,000			51.7	48.3
106	青森県	1980	1,157,302	366,454	134,516	43,821	1,551,648	1,523,907		747,049	51.7	48.3
107	青森県	1981	1,158,000	369,000	139,000		1,552,940	1,526,000			51.8	48.2
108	青森県	1982	1,164,000	365,000	144,000		1,555,119	1,527,000			51.9	48.2
109	青森県	1983	1,169,000	362,000	147,000		1,553,106	1,528,000			51.9	48.1
110	青森県	1984	1,172,000	358,000	150,000		1,550,674	1,527,000			51.9	48.0
111	青森県	1985	1,185,876	338,554	158,547	57,163	1,547,104	1,524,448		755,372	52.0	48.0
112	青森県	1986	1,190,000	330,000	164,000		1,543,280	1,517,000			52.1	47.9
113	青森県	1987	1,195,000	321,000	169,000		1,536,311	1,511,000			52.2	47.8
114	青森県	1988	1,199,000	310,000	173,000		1,529,000	1,502,000			52.3	47.7
115	青森県	1989	1,202,000	300,000	179,000		1,522,975	1,492,000			52.4	47.7
116	青森県	1990	1,192,580	289,082	191,776	73,691	1,515,508	1,482,873		751,672	52.5	47.5
117	青森県	1991	1,199,000	278,000	200,000		1,509,599	1,479,000			52.5	47.5
118	青森県	1992	1,204,000	268,000	208,000		1,506,250	1,476,000			52.6	47.5
119	青森県	1993	1,210,000	260,000	217,000		1,507,037	1,476,000			52.6	47.5
120	青森県	1994	1,218,000	253,000	226,000		1,508,045	1,480,000			52.4	47.5
121	青森県	1995	1,228,056	252,414	236,745	88,896	1,508,720	1,481,663		775,411	52.5	47.5
122	青森県	1996	1,237,000	245,000	247,000		1,508,353	1,483,000			52.5	47.5
123	青森県	1997	1,241,000	240,000	256,000		1,506,412	1,481,000			52.4	47.6
124	青森県	1998	1,245,000	234,000	266,000		1,504,358	1,479,000			52.5	47.6
125	青森県	1999	1,248,000	227,000	274,000		1,499,725	1,477,000			52.4	47.6
126	青森県	2000	1,251,760	223,141	287,099	111,600	1,497,036	1,475,728		771,302	52.4	47.6
127	青森県	2001	1,256,000	218,000	297,000		1,492,669	1,473,000			52.4	47.6
128	青森県	2002	1,256,000	213,000	306,000		1,487,451	1,467,000			52.5	47.5
129	青森県	2003	1,255,000	207,000	312,000		1,479,358	1,459,000			52.6	47.4
130	青森県	2004	1,251,000	201,000	315,000		1,468,608	1,448,000			52.6	47.4
131	青森県	2005	1,237,418	198,959	326,562	145,911	1,460,144	1,436,657		748,122	52.7	47.3
132	青森県	2006	1,230,000	192,000	331,000		1,445,592	1,424,000			52.8	47.2
133	青森県	2007	1,222,000	185,000	336,000		1,430,543	1,409,000			52.9	47.1
134	青森県	2008	1,213,000	179,000	340,000		1,417,278	1,395,000			52.9	47.1
135	青森県	2009	1,206,000	173,000	344,000		1,405,535	1,383,000			52.9	47.1
136	青森県	2010	1,196,355	171,842	352,768	179,653	1,395,886	1,373,339		702,668	53.0	47.0
137	青森県	2011	1,195,000	168,000	355,000		1,383,043	1,363,000			53.0	47.0
138	青森県	2012	1,186,000	164,000	364,000		1,368,246	1,350,000	1,372,010		53.0	47.0
139	青森県	2013	1,177,000	159,000	373,000		1,363,963	1,335,000	1,367,858		53.0	47.0
140	青森県	2014	1,167,000	155,000	383,000		1,349,355	1,321,000	1,353,336		53.1	47.1
141	青森県	2015	1,148,807	148,208	390,940	199,344	1,334,258	1,308,265	1,338,465	661,082	53.0	47.0
142	青森県	2016	1,149,000	145,000	401,000		1,319,349	1,293,000	1,323,861		53.1	47.1
143	青森県	2017	1,138,000	141,000	407,000		1,303,668	1,278,000	1,308,707		53.1	47.2
144	青森県	2018	1,126,000	137,000	412,000		1,287,029	1,263,000	1,292,709		53.1	47.3
145	青森県	2019	1,114,000	133,000	415,000		1,269,494	1,246,000	1,275,783		53.2	47.4
146	青森県	2020	1,089,110	129,112	412,943	210,338	1,253,958	1,237,984	1,260,067	631,696	52.9	47.1
147	青森県	2021	1,095,000	127,000	419,000		1,237,463	1,221,000	1,243,081		52.9	47.1
148	青森県	2022	1,082,000	123,000	419,000		1,218,922	1,204,000	1,225,497		52.8	47.2
149	青森県	2023	1,066,000	118,000	417,000		1,197,980	1,184,000	1,205,578		52.9	47.2
150	青森県	2024	1,050,000	114,000	416,000			1,165,000				
151	岩手県	1975	1,047,071	338,374	118,397	36,738	1,415,082	1,385,563		714,485	51.8	48.2
152	岩手県	1976	1,063,000	332,000	124,000		1,421,389	1,395,000			51.7	48.3
153	岩手県	1977	1,074,000	325,000	128,000		1,426,803	1,401,000			51.7	48.3
154	岩手県	1978	1,086,000	320,000	134,000		1,433,751	1,409,000			51.6	48.4
155	岩手県	1979	1,096,000	314,000	138,000		1,438,122	1,416,000			51.6	48.4
156	岩手県	1980	1,095,788	326,014	143,400	48,204	1,442,471	1,421,927		738,930	51.6	48.4
157	岩手県	1981	1,100,000	326,000	149,000		1,445,071	1,426,000			51.6	48.4
158	岩手県	1982	1,106,000	322,000	154,000		1,447,838	1,429,000			51.6	48.4
159	岩手県	1983	1,113,000	318,000	159,000		1,447,234	1,432,000			51.7	48.3
160	岩手県	1984	1,117,000	313,000	162,000		1,447,102	1,433,000			51.7	48.3
161	岩手県	1985	1,125,811	307,800	170,386	62,430	1,445,233	1,433,611		753,569	51.7	48.3
162	岩手県	1986	1,129,000	302,000	176,000		1,440,888	1,431,000			51.8	48.2
163	岩手県	1987	1,132,000	294,000	181,000		1,435,175	1,427,000			51.9	48.1
164	岩手県	1988	1,137,000	286,000	188,000		1,433,195	1,424,000			51.9	48.1
165	岩手県	1989	1,142,000	276,000	196,000		1,429,590	1,419,000			51.9	48.1
166	岩手県	1990	1,146,789	269,810	205,737	79,917	1,428,904	1,416,928		758,290	52.0	48.0
167	岩手県	1991	1,155,000	260,000	215,000		1,426,886	1,416,000			52.0	48.0
168	岩手県	1992	1,163,000	251,000	225,000		1,427,856	1,416,000			52.0	48.0
169	岩手県	1993	1,172,000	243,000	234,000		1,428,646	1,417,000			51.9	48.1
170	岩手県	1994	1,179,000	237,000	244,000		1,430,332	1,418,000			52.0	48.0
171	岩手県	1995	1,180,431	239,010	255,256	98,046	1,430,118	1,419,505		772,555	52.0	48.0
172	岩手県	1996	1,188,000	232,000	265,000		1,430,331	1,420,000			52.0	48.1
173	岩手県	1997	1,194,000	224,000	275,000		1,429,752	1,419,000			51.9	48.1
174	岩手県	1998	1,200,000	217,000	285,000		1,427,987	1,419,000			51.9	48.1
175	岩手県	1999	1,204,000	210,000	293,000		1,425,135	1,417,000			51.9	48.1
176	岩手県	2000	1,203,165	212,470	303,988	123,920	1,421,796	1,416,180		763,523	51.9	48.1
177	岩手県	2001	1,206,000	208,000	313,000		1,416,421	1,413,000			51.9	48.1
178	岩手県	2002	1,204,000	203,000	321,000		1,411,176	1,407,000			52.0	48.0
179	岩手県	2003	1,203,000	199,000	328,000		1,405,060	1,401,000			52.0	48.0
180	岩手県	2004	1,201,000	194,000	333,000		1,396,637	1,395,000			52.0	48.0
181	岩手県	2005	1,190,210	190,578	339,957	160,886	1,388,164	1,385,041		734,276	52.1	47.9
182	岩手県	2006	1,190,000	185,000	346,000		1,377,666	1,375,000			52.1	47.9
183	岩手県	2007	1,185,000	179,000	351,000		1,366,652	1,364,000			52.2	47.8
184	岩手県	2008	1,178,000	174,000	355,000		1,355,205	1,352,000			52.2	47.8
185	岩手県	2009	1,172,000	169,000	359,000		1,345,007	1,340,000			52.2	47.8
186	岩手県	2010	1,156,278	168,804	360,498	192,112	1,334,814	1,330,147		679,332	52.3	47.7
187	岩手県	2011	1,149,000	165,000	358,000		1,317,795	1,314,000			52.2	47.8
188	岩手県	2012	1,141,000	162,000	364,000		1,309,009	1,303,000	1,314,180		52.2	48.0
189	岩手県	2013	1,136,000	159,000	372,000		1,305,990	1,295,000	1,311,367		52.2	48.1
190	岩手県	2014	1,129,000	156,000	380,000		1,295,341	1,284,000	1,300,963		52.2	48.3
191	岩手県	2015	1,121,459	150,992	386,573	207,419	1,283,607	1,279,594	1,289,470	662,760	51.9	48.1
192	岩手県	2016	1,121,000	147,000	395,000		1,271,103	1,268,000	1,277,271		51.9	48.1
193	岩手県	2017	1,111,000	144,000	400,000		1,257,779	1,255,000	1,264,329		51.9	48.0
194	岩手県	2018	1,100,000	140,000	403,000		1,243,012	1,241,000	1,250,142		51.8	48.1
195	岩手県	2019	1,090,000	137,000	406,000		1,227,464	1,227,000	1,235,517		51.8	48.1
196	岩手県	2020	1,063,175	132,447	404,359	214,277	1,213,473	1,210,534	1,221,205	628,881	51.8	48.2
197	岩手県	2021	1,068,000	129,000	409,000		1,199,401	1,196,000	1,206,479		51.8	48.2
198	岩手県	2022	1,056,000	125,000	408,000		1,181,439	1,181,000	1,189,670		51.7	48.3
199	岩手県	2023	1,043,000	120,000	407,000		1,162,395	1,163,000	1,172,349		51.8	48.3
200	岩手県	2024	1,029,000	115,000	405,000			1,145,000				
201	宮城県	1975	1,493,642	460,953	150,010	47,817	1,945,166	1,955,267		941,104	50.9	49.1
202	宮城県	1976	1,519,000	464,000	156,000		1,982,250	1,984,000			50.8	49.1
203	宮城県	1977	1,539,000	467,000	161,000		2,003,541	2,008,000			50.8	49.2
204	宮城県	1978	1,559,000	469,000	167,000		2,031,551	2,032,000			50.8	49.2
205	宮城県	1979	1,581,000	472,000	173,000		2,055,290	2,059,000			50.8	49.2
206	宮城県	1980	1,600,186	480,552	180,689	60,489	2,075,136	2,082,320		1,010,374	50.7	49.3
207	宮城県	1981	1,616,000	487,000	187,000		2,096,209	2,104,000			50.7	49.3
208	宮城県	1982	1,638,000	487,000	194,000		2,116,037	2,125,000			50.7	49.3
209	宮城県	1983	1,657,000	487,000	200,000		2,131,644	2,144,000			50.7	49.3
210	宮城県	1984	1,674,000	486,000	206,000		2,148,500	2,161,000			50.7	49.2
211	宮城県	1985	1,694,277	480,899	215,457	78,006	2,163,640	2,176,295		1,069,988	50.8	49.2
212	宮城県	1986	1,714,000	476,000	224,000		2,179,897	2,190,000			50.8	49.2
213	宮城県	1987	1,737,000	470,000	233,000		2,195,612	2,206,000			50.8	49.2
214	宮城県	1988	1,761,000	460,000	243,000		2,210,416	2,221,000			50.8	49.2
215	宮城県	1989	1,785,000	451,000	253,000		2,224,801	2,236,000			50.8	49.2
216	宮城県	1990	1,802,208	439,313	266,759	100,694	2,240,389	2,248,558		1,132,188	50.9	49.1
217	宮城県	1991	1,834,000	430,000	281,000		2,257,319	2,267,000			50.9	49.1
218	宮城県	1992	1,857,000	420,000	296,000		2,272,762	2,283,000			50.9	49.1
219	宮城県	1993	1,880,000	410,000	309,000		2,286,741	2,299,000			50.8	49.2
220	宮城県	1994	1,901,000	400,000	324,000		2,299,396	2,313,000			50.8	49.2
221	宮城県	1995	1,933,054	394,331	337,520	125,144	2,311,572	2,328,739		1,211,112	50.8	49.2
222	宮城県	1996	1,953,000	385,000	352,000		2,324,066	2,338,000			50.9	49.1
223	宮城県	1997	1,972,000	376,000	367,000		2,333,334	2,348,000			50.9	49.1
224	宮城県	1998	1,988,000	367,000	381,000		2,340,145	2,355,000			51.0	49.0
225	宮城県	1999	2,001,000	359,000	394,000		2,343,852	2,360,000			51.0	49.0
226	宮城県	2000	2,010,982	353,516	409,156	164,061	2,347,166	2,365,320		1,212,783	51.0	49.0
227	宮城県	2001	2,024,000	347,000	423,000		2,348,465	2,369,000			51.1	48.9
228	宮城県	2002	2,031,000	341,000	436,000		2,350,132	2,369,000			51.1	48.8
229	宮城県	2003	2,038,000	335,000	449,000		2,350,026	2,369,000			51.2	48.8
230	宮城県	2004	2,042,000	330,000	458,000		2,347,970	2,366,000			51.3	48.8
231	宮城県	2005	2,028,599	325,829	470,512	217,888	2,344,569	2,360,218		1,189,491	51.3	48.7
232	宮城県	2006	2,032,000	323,000	482,000		2,340,485	2,358,000			51.4	48.6
233	宮城県	2007	2,028,000	319,000	493,000		2,334,874	2,354,000			51.4	48.6
234	宮城県	2008	2,023,000	317,000	504,000		2,330,898	2,349,000			51.5	48.5
235	宮城県	2009	2,022,000	314,000	515,000		2,329,344	2,348,000			51.4	48.5
236	宮城県	2010	2,022,432	308,201	520,794	264,856	2,318,956	2,348,165		1,148,862	51.5	48.5
237	宮城県	2011	2,023,000	303,000	520,000		2,302,706	2,327,000			51.4	48.6
238	宮城県	2012	2,025,000	301,000	534,000		2,304,889	2,325,000	2,318,692		51.4	48.8
239	宮城県	2013	2,029,000	299,000	553,000		2,314,509	2,328,000	2,329,439		51.4	48.9
240	宮城県	2014	2,031,000	297,000	573,000		2,312,179	2,328,000	2,328,133		51.3	49.0
241	宮城県	2015	1,998,562	286,003	588,240	294,783	2,307,087	2,333,899	2,324,466	1,133,081	51.1	48.9
242	宮城県	2016	2,045,000	285,000	616,000		2,300,472	2,330,000	2,319,438		51.2	48.9
243	宮城県	2017	2,043,000	280,000	631,000		2,291,981	2,323,000	2,312,080		51.2	48.9
244	宮城県	2018	2,039,000	276,000	643,000		2,281,915	2,316,000	2,303,098		51.3	48.9
245	宮城県	2019	2,034,000	272,000	652,000		2,268,775	2,306,000	2,292,385		51.3	48.9
246	宮城県	2020	1,985,829	268,428	638,984	319,558	2,259,562	2,301,996	2,282,106	1,130,271	51.2	48.8
247	宮城県	2021	2,026,000	264,000	655,000		2,247,609	2,290,000	2,268,355		51.3	48.8
248	宮城県	2022	2,022,000	258,000	659,000		2,233,374	2,280,000	2,257,472		51.2	48.8
249	宮城県	2023	2,014,000	250,000	662,000		2,215,938	2,264,000	2,242,389		51.2	48.8
250	宮城県	2024	2,005,000	243,000	665,000			2,248,000				
251	秋田県	1975	958,631	273,808	109,172	31,985	1,255,878	1,232,481		628,081	52.1	47.9
252	秋田県	1976	971,000	268,000	114,000		1,261,630	1,239,000			52.1	48.0
253	秋田県	1977	980,000	263,000	119,000		1,265,771	1,245,000			52.0	48.0
254	秋田県	1978	989,000	259,000	124,000		1,271,236	1,250,000			52.0	48.0
255	秋田県	1979	995,000	255,000	128,000		1,273,664	1,254,000			52.0	48.0
256	秋田県	1980	993,387	263,277	132,075	42,974	1,274,239	1,256,745		639,586	52.0	48.0
257	秋田県	1981	994,000	264,000	138,000		1,273,184	1,259,000			52.0	48.0
258	秋田県	1982	996,000	261,000	142,000		1,269,121	1,258,000			52.1	47.9
259	秋田県	1983	996,000	258,000	146,000		1,266,443	1,256,000			52.1	47.9
260	秋田県	1984	998,000	255,000	151,000		1,264,054	1,255,000			52.2	47.9
261	秋田県	1985	1,003,559	250,402	158,086	56,185	1,261,045	1,254,032		639,718	52.2	47.8
262	秋田県	1986	1,003,000	246,000	163,000		1,256,420	1,249,000			52.2	47.7
263	秋田県	1987	1,004,000	240,000	169,000		1,250,284	1,244,000			52.3	47.7
264	秋田県	1988	1,006,000	234,000	175,000		1,244,632	1,238,000			52.3	47.7
265	秋田県	1989	1,008,000	226,000	182,000		1,239,831	1,232,000			52.4	47.6
266	秋田県	1990	1,007,413	219,637	191,573	72,082	1,236,840	1,227,478		631,686	52.4	47.6
267	秋田県	1991	1,010,000	212,000	200,000		1,231,814	1,223,000			52.4	47.6
268	秋田県	1992	1,014,000	206,000	210,000		1,228,587	1,220,000			52.4	47.6
269	秋田県	1993	1,017,000	199,000	219,000		1,226,921	1,217,000			52.4	47.6
270	秋田県	1994	1,021,000	194,000	228,000		1,225,868	1,216,000			52.4	47.6
271	秋田県	1995	1,024,665	188,844	237,682	89,600	1,222,018	1,213,667		629,941	52.4	47.6
272	秋田県	1996	1,027,000	183,000	247,000		1,218,620	1,210,000			52.4	47.6
273	秋田県	1997	1,028,000	178,000	256,000		1,214,254	1,205,000			52.4	47.6
274	秋田県	1998	1,028,000	173,000	264,000		1,209,196	1,200,000			52.5	47.5
275	秋田県	1999	1,029,000	167,000	271,000		1,203,471	1,195,000			52.5	47.5
276	秋田県	2000	1,026,016	163,095	279,764	113,751	1,197,566	1,189,279		614,905	52.5	47.5
277	秋田県	2001	1,025,000	159,000	288,000		1,190,007	1,183,000			52.6	47.4
278	秋田県	2002	1,022,000	154,000	295,000		1,182,025	1,175,000			52.6	47.4
279	秋田県	2003	1,019,000	148,000	299,000		1,173,722	1,165,000			52.7	47.3
280	秋田県	2004	1,016,000	143,000	302,000		1,164,389	1,156,000			52.8	47.2
281	秋田県	2005	1,002,481	142,507	308,193	147,870	1,156,356	1,145,501		585,921	52.8	47.2
282	秋田県	2006	996,000	138,000	311,000		1,143,829	1,134,000			52.8	47.2
283	秋田県	2007	988,000	132,000	314,000		1,130,823	1,121,000			52.9	47.1
284	秋田県	2008	980,000	128,000	315,000		1,118,735	1,109,000			52.9	47.0
285	秋田県	2009	973,000	123,000	317,000		1,108,237	1,097,000			53.0	46.9
286	秋田県	2010	960,083	124,061	320,450	175,018	1,097,588	1,085,997		540,842	53.0	47.0
287	秋田県	2011	953,000	121,000	319,000		1,086,018	1,075,000			53.0	47.0
288	秋田県	2012	945,000	118,000	326,000		1,072,625	1,063,000	1,076,205		53.1	46.9
289	秋田県	2013	935,000	115,000	331,000		1,066,538	1,050,000	1,070,226		53.0	47.0
290	秋田県	2014	926,000	112,000	339,000		1,052,988	1,037,000	1,056,579		53.0	47.0
291	秋田県	2015	908,538	106,041	343,301	187,148	1,039,436	1,023,119	1,043,015	504,758	53.1	46.9
292	秋田県	2016	906,000	104,000	351,000		1,025,559	1,010,000	1,029,196		53.1	47.0
